Country;Item Type;Order Date;Order ID;Order Priority Ex;Region;Sales Channel;Ship Date;Total Cost Ch (bin);Total Cost Ch;Total Profit Ch;Total Revenue Ch;Unit Cost Ch;Unit Price Ch;Units Sold
Ukraine;Cosmetics;22/01/2011;773645913;High;Europe;Online;28/01/2011;1929K;2073197,09;1368878,51;3442075,6;263,33;437,2;7873
Bosnia and Herzegovina;Meat;24/07/2012;410740888;High;Europe;Online;01/09/2012;2226K;2265089,59;355269,2;2620358,79;364,69;421,89;6211
Latvia;Meat;15/12/2011;847317397;Medium;Europe;Offline;18/12/2011;3116K;3246470,38;509194,4;3755664,78;364,69;421,89;8902
Serbia;Beverages;03/09/2012;599624192;Low;Europe;Online;21/09/2012;0K;31090,62;15315,48;46406,1;31,79;47,45;978
Portugal;Office Supplies;21/01/2014;734318292;Medium;Europe;Online;04/03/2014;5193K;5226501,76;1256945;6483446,76;524,96;651,21;9956
Poland;Household;07/07/2017;232196319;Low;Europe;Offline;04/08/2017;445K;454798,7;149985,65;604784,35;502,54;668,27;905
Liechtenstein;Cosmetics;15/07/2012;229693067;Low;Europe;Online;15/07/2012;0K;36339,54;23994,06;60333,6;263,33;437,2;138
United Kingdom;Beverages;08/04/2017;121945512;Critical;Europe;Online;12/04/2017;148K;166643,18;82089,72;248732,9;31,79;47,45;5242
Slovenia;Fruits;22/10/2012;169799983;High;Europe;Online;20/11/2012;0K;44585,56;15527,63;60113,19;6,92;9,33;6443
Malta;Vegetables;11/03/2014;894589078;Medium;Europe;Online;10/04/2014;593K;694977,99;482502,59;1177480,58;90,93;154,06;7643
Ukraine;Personal Care;16/07/2010;987459170;Medium;Europe;Online;27/08/2010;445K;564829,89;249773,02;814602,91;56,67;81,73;9967
Cyprus;Fruits;12/07/2015;600515115;Medium;Europe;Offline;30/08/2015;0K;31984,24;11139,02;43123,26;6,92;9,33;4622
Poland;Office Supplies;27/11/2015;208365428;Medium;Europe;Offline;29/12/2015;4599K;4627522,4;1112893,75;5740416,15;524,96;651,21;8815
Monaco;Personal Care;08/06/2014;263098371;Low;Europe;Online;04/07/2014;297K;312195,03;138055,54;450250,57;56,67;81,73;5509
Estonia;Cosmetics;23/05/2011;790149009;Critical;Europe;Online;29/05/2011;297K;396311,65;261674,35;657986;263,33;437,2;1505
Norway;Cereal;08/10/2014;100640618;Medium;Europe;Online;18/10/2014;0K;76121,5;57583,5;133705;117,11;205,7;650
Luxembourg;Snacks;01/02/2011;977324712;High;Europe;Online;10/03/2011;0K;93055,2;52658,7;145713,9;97,44;152,58;955
Luxembourg;Snacks;07/09/2010;510956799;High;Europe;Online;23/09/2010;148K;226645,44;128255,64;354901,08;97,44;152,58;2326
Armenia;Fruits;23/03/2011;120977771;Medium;Europe;Online;02/05/2011;0K;61352,72;21367,06;82719,78;6,92;9,33;8866
Bulgaria;Snacks;11/03/2017;476991450;Low;Europe;Offline;27/03/2017;0K;119364;67546,5;186910,5;97,44;152,58;1225
Denmark;Beverages;05/06/2016;973268353;High;Europe;Online;26/06/2016;0K;18724,31;9223,74;27948,05;31,79;47,45;589
Finland;Vegetables;14/02/2013;771674382;Low;Europe;Offline;21/03/2013;297K;404911,29;281117,89;686029,18;90,93;154,06;4453
Kosovo;Fruits;02/05/2010;291995418;Low;Europe;Online;06/06/2010;0K;46972,96;16359,08;63332,04;6,92;9,33;6788
Hungary;Baby Food;25/01/2011;128686225;Medium;Europe;Online;13/03/2011;1484K;1589098,56;955532,48;2544631,04;159,42;255,28;9968
Lithuania;Cosmetics;06/01/2012;420875346;Low;Europe;Offline;18/02/2012;1335K;1375372,59;908123,01;2283495,6;263,33;437,2;5223
Albania;Vegetables;05/10/2012;476633536;Critical;Europe;Online;03/11/2012;445K;482838,3;335220,3;818058,6;90,93;154,06;5310
Cyprus;Vegetables;02/07/2014;727997720;Critical;Europe;Offline;19/07/2014;742K;869108,94;603396,54;1472505,48;90,93;154,06;9558
Moldova;Personal Care;11/03/2013;467045819;Medium;Europe;Online;12/04/2013;445K;458573,64;202785,52;661359,16;56,67;81,73;8092
Kosovo;Cosmetics;01/11/2012;813973891;Critical;Europe;Offline;13/11/2012;445K;478733,94;316095,66;794829,6;263,33;437,2;1818
Albania;Cosmetics;30/09/2016;576944720;Low;Europe;Offline;09/10/2016;2522K;2532971,27;1672455,53;4205426,8;263,33;437,2;9619
Portugal;Baby Food;03/08/2015;404789817;Low;Europe;Online;08/09/2015;742K;822128,94;494350,02;1316478,96;159,42;255,28;5157
Bosnia and Herzegovina;Baby Food;30/04/2014;871923768;Critical;Europe;Online;30/05/2014;0K;75565,08;45437,64;121002,72;159,42;255,28;474
Kosovo;Vegetables;18/12/2012;818976962;Critical;Europe;Offline;21/12/2012;148K;212503,41;147534,81;360038,22;90,93;154,06;2337
Switzerland;Cosmetics;20/07/2017;233811223;Critical;Europe;Online;20/07/2017;2226K;2315197,36;1528665,04;3843862,4;263,33;437,2;8792
Lithuania;Office Supplies;15/12/2016;112330758;Critical;Europe;Offline;11/01/2017;0K;11549,12;2777,5;14326,62;524,96;651,21;22
Montenegro;Office Supplies;02/07/2014;256095016;High;Europe;Offline;21/08/2014;1484K;1606902,56;386451,25;1993353,81;524,96;651,21;3061
France;Meat;28/11/2015;245440852;Low;Europe;Online;17/12/2015;0K;93725,33;14700,4;108425,73;364,69;421,89;257
Spain;Fruits;22/10/2011;817006289;High;Europe;Online;14/11/2011;0K;63470,24;22104,52;85574,76;6,92;9,33;9172
Sweden;Vegetables;20/09/2010;298228013;High;Europe;Online;25/10/2010;0K;104660,43;72662,63;177323,06;90,93;154,06;1151
Latvia;Snacks;15/03/2017;972981679;Critical;Europe;Online;09/04/2017;445K;560767,2;317330,7;878097,9;97,44;152,58;5755
Norway;Personal Care;08/06/2012;594813811;Medium;Europe;Offline;17/06/2012;297K;423891,6;187448,8;611340,4;56,67;81,73;7480
Estonia;Clothes;08/09/2012;176722657;High;Europe;Online;16/09/2012;148K;179773,44;368375,04;548148,48;35,84;109,28;5016
Malta;Personal Care;16/08/2011;466988742;Medium;Europe;Offline;16/08/2011;0K;68060,67;30097,06;98157,73;56,67;81,73;1201
Portugal;Cereal;11/08/2015;615080583;Critical;Europe;Online;19/09/2015;445K;570091,48;431256,12;1001347,6;117,11;205,7;4868
Macedonia;Cosmetics;26/12/2010;350977408;Critical;Europe;Online;22/01/2011;148K;228833,77;151093,03;379926,8;263,33;437,2;869
Greece;Personal Care;08/12/2011;701298367;Medium;Europe;Offline;06/01/2012;445K;488835,42;216167,56;705002,98;56,67;81,73;8626
Italy;Personal Care;25/02/2011;309342658;Critical;Europe;Online;28/03/2011;0K;12580,74;5563,32;18144,06;56,67;81,73;222
Norway;Household;20/03/2010;384128224;Medium;Europe;Offline;26/04/2010;445K;468869,82;154626,09;623495,91;502,54;668,27;933
Netherlands;Household;17/01/2014;990774810;Critical;Europe;Offline;18/02/2014;445K;571890,52;188600,74;760491,26;502,54;668,27;1138
Belgium;Vegetables;26/12/2011;394110763;Critical;Europe;Offline;29/12/2011;445K;453558,84;314892,44;768451,28;90,93;154,06;4988
Kosovo;Fruits;02/03/2012;899868094;Critical;Europe;Online;26/03/2012;0K;67961,32;23668,61;91629,93;6,92;9,33;9821
Germany;Baby Food;06/01/2017;361311852;Low;Europe;Offline;15/02/2017;1335K;1444504,62;868587,46;2313092,08;159,42;255,28;9061
Hungary;Beverages;20/05/2014;930136287;Low;Europe;Online;21/06/2014;148K;217825,08;107302,32;325127,4;31,79;47,45;6852
Bulgaria;Cosmetics;05/05/2012;179819428;Critical;Europe;Online;02/06/2012;297K;373928,6;246895,4;620824;263,33;437,2;1420
Bosnia and Herzegovina;Fruits;05/01/2013;291305768;High;Europe;Online;06/01/2013;0K;18718,6;6519,05;25237,65;6,92;9,33;2705
Russia;Personal Care;24/04/2015;602357041;Low;Europe;Online;05/05/2015;445K;549075,63;242806,34;791881,97;56,67;81,73;9689
Albania;Snacks;02/12/2010;653087270;High;Europe;Online;07/12/2010;148K;184259,04;104269,74;288528,78;97,44;152,58;1891
Slovenia;Fruits;15/12/2013;812637078;Medium;Europe;Offline;05/01/2014;0K;43077;15002,25;58079,25;6,92;9,33;6225
Macedonia;Personal Care;19/07/2014;456192958;Low;Europe;Online;18/08/2014;297K;367731,63;162614,34;530345,97;56,67;81,73;6489
Albania;Meat;31/01/2013;986449801;High;Europe;Offline;13/03/2013;445K;463885,68;72758,4;536644,08;364,69;421,89;1272
Sweden;Cosmetics;03/07/2017;910610234;Low;Europe;Online;31/07/2017;2226K;2280174,47;1505540,33;3785714,8;263,33;437,2;8659
Norway;Meat;03/03/2017;696844613;Medium;Europe;Online;22/03/2017;148K;241060,09;37809,2;278869,29;364,69;421,89;661
Czech Republic;Personal Care;04/12/2010;353415429;Medium;Europe;Online;08/12/2010;0K;132267,78;58490,04;190757,82;56,67;81,73;2334
Andorra;Cereal;19/03/2010;696197879;High;Europe;Online;26/03/2010;1039K;1086546,58;821938,02;1908484,6;117,11;205,7;9278
Iceland;Cosmetics;05/04/2012;907349526;Critical;Europe;Online;16/05/2012;890K;985644,19;650795,41;1636439,6;263,33;437,2;3743
Poland;Personal Care;05/04/2014;386440074;Critical;Europe;Offline;25/04/2014;148K;286750,2;126803,6;413553,8;56,67;81,73;5060
Finland;Vegetables;28/09/2012;800352561;High;Europe;Online;21/10/2012;0K;87565,59;60794,19;148359,78;90,93;154,06;963
Poland;Beverages;08/01/2014;714165675;Critical;Europe;Offline;02/02/2014;148K;201802,92;99409,68;301212,6;31,79;47,45;6348
Croatia;Beverages;22/02/2013;189924275;Low;Europe;Offline;21/03/2013;0K;53025,72;26120,88;79146,6;31,79;47,45;1668
Poland;Meat;30/04/2013;546081721;High;Europe;Online;22/05/2013;2374K;2396377,99;375861,2;2772239,19;364,69;421,89;6571
Switzerland;Baby Food;26/06/2010;979073941;Critical;Europe;Online;18/07/2010;1335K;1369577,22;823533,26;2193110,48;159,42;255,28;8591
Bosnia and Herzegovina;Personal Care;07/02/2010;396718728;Low;Europe;Offline;18/03/2010;297K;382069,14;168954,52;551023,66;56,67;81,73;6742
Hungary;Beverages;03/12/2010;948075759;Medium;Europe;Offline;04/01/2011;148K;176116,6;86756,4;262873;31,79;47,45;5540
Sweden;Cereal;19/10/2012;737736070;Low;Europe;Offline;03/11/2012;148K;158332,72;119773,68;278106,4;117,11;205,7;1352
Slovakia;Household;20/02/2010;585362994;Low;Europe;Offline;11/04/2010;297K;388463,42;128109,29;516572,71;502,54;668,27;773
Czech Republic;Baby Food;18/07/2015;850872075;High;Europe;Offline;01/08/2015;0K;129130,2;77646,6;206776,8;159,42;255,28;810
Bosnia and Herzegovina;Office Supplies;08/11/2012;575583016;Critical;Europe;Offline;24/11/2012;3412K;3496233,6;840825;4337058,6;524,96;651,21;6660
Kosovo;Meat;01/02/2011;515773189;High;Europe;Offline;17/02/2011;2671K;2772738,07;434891,6;3207629,67;364,69;421,89;7603
Monaco;Personal Care;29/03/2016;351247346;High;Europe;Online;08/05/2016;0K;42502,5;18795;61297,5;56,67;81,73;750
Portugal;Beverages;20/01/2016;554721438;High;Europe;Offline;28/01/2016;0K;103508,24;50988,96;154497,2;31,79;47,45;3256
Germany;Cereal;19/02/2010;398333632;Critical;Europe;Offline;02/03/2010;445K;542102,19;410083,11;952185,3;117,11;205,7;4629
Vatican City;Beverages;27/12/2015;370484149;Critical;Europe;Online;19/01/2016;0K;106432,92;52429,68;158862,6;31,79;47,45;3348
Denmark;Baby Food;29/09/2013;306839406;High;Europe;Offline;01/10/2013;1484K;1507156,68;906260,44;2413417,12;159,42;255,28;9454
Estonia;Beverages;09/02/2017;653548610;Critical;Europe;Offline;21/02/2017;148K;267417,48;131731,92;399149,4;31,79;47,45;8412
Belarus;Vegetables;31/12/2012;413078916;Low;Europe;Online;11/01/2013;593K;735259,98;510469,18;1245729,16;90,93;154,06;8086
Italy;Snacks;14/12/2010;307721745;Medium;Europe;Online;01/01/2011;0K;54371,52;30768,12;85139,64;97,44;152,58;558
Kosovo;Office Supplies;09/11/2011;374663245;Critical;Europe;Online;26/11/2011;0K;18373,6;4418,75;22792,35;524,96;651,21;35
Ireland;Vegetables;16/11/2010;901670968;Critical;Europe;Offline;11/12/2010;297K;302887,83;210286,03;513173,86;90,93;154,06;3331
Montenegro;Cosmetics;19/08/2012;353320157;Low;Europe;Offline;22/08/2012;1039K;1090449,53;719995,67;1810445,2;263,33;437,2;4141
Norway;Cereal;20/06/2013;645701968;Low;Europe;Offline;21/07/2013;742K;751377,76;568393,44;1319771,2;117,11;205,7;6416
Poland;Office Supplies;19/09/2013;148894631;High;Europe;Online;25/09/2013;0K;44621,6;10731,25;55352,85;524,96;651,21;85
Sweden;Baby Food;03/04/2013;443551385;Low;Europe;Online;09/05/2013;742K;887331,72;533556,76;1420888,48;159,42;255,28;5566
Vatican City;Clothes;11/03/2014;508014523;High;Europe;Offline;20/03/2014;0K;58849,28;120588,48;179437,76;35,84;109,28;1642
Lithuania;Office Supplies;08/07/2012;987767302;Critical;Europe;Online;01/08/2012;593K;603704;145187,5;748891,5;524,96;651,21;1150
Croatia;Baby Food;19/09/2012;103832662;High;Europe;Offline;20/10/2012;742K;836476,74;502977,42;1339454,16;159,42;255,28;5247
Malta;Personal Care;19/02/2014;445708739;High;Europe;Online;27/02/2014;148K;225263,25;99613,5;324876,75;56,67;81,73;3975
Macedonia;Beverages;24/07/2012;354655683;Medium;Europe;Offline;31/07/2012;297K;297331,87;146467,98;443799,85;31,79;47,45;9353
Belarus;Office Supplies;30/06/2017;624398362;Critical;Europe;Offline;24/07/2017;1039K;1158061,76;278507,5;1436569,26;524,96;651,21;2206
Liechtenstein;Beverages;05/09/2016;264163959;Critical;Europe;Online;22/09/2016;0K;26703,6;13154,4;39858;31,79;47,45;840
Russia;Office Supplies;16/10/2011;520915305;High;Europe;Offline;07/11/2011;4748K;4866379,2;1170337,5;6036716,7;524,96;651,21;9270
Armenia;Cereal;05/02/2013;424181544;High;Europe;Online;04/03/2013;297K;421596;318924;740520;117,11;205,7;3600
United Kingdom;Office Supplies;03/07/2015;560762631;High;Europe;Online;16/07/2015;445K;513935,84;123598,75;637534,59;524,96;651,21;979
Moldova;Office Supplies;04/04/2015;458816373;Low;Europe;Offline;16/04/2015;1335K;1477762,4;355393,75;1833156,15;524,96;651,21;2815
Netherlands;Household;18/08/2013;142987763;Low;Europe;Offline;01/09/2013;1039K;1061364,48;350021,76;1411386,24;502,54;668,27;2112
Andorra;Snacks;23/01/2010;480904042;Critical;Europe;Offline;05/02/2010;742K;881637,12;498906,72;1380543,84;97,44;152,58;9048
Armenia;Vegetables;07/12/2016;571323239;Medium;Europe;Online;01/01/2017;445K;554400,21;384903,61;939303,82;90,93;154,06;6097
Italy;Snacks;16/09/2012;281100928;High;Europe;Online;03/11/2012;148K;279263,04;158031,24;437294,28;97,44;152,58;2866
Croatia;Household;26/04/2013;659196269;Low;Europe;Online;01/06/2013;4748K;4864587,2;1604266,4;6468853,6;502,54;668,27;9680
Bulgaria;Personal Care;24/10/2012;595496594;High;Europe;Offline;04/11/2012;445K;540065,1;238821,8;778886,9;56,67;81,73;9530
Ireland;Personal Care;30/05/2010;354931628;High;Europe;Offline;08/06/2010;0K;57293,37;25335,66;82629,03;56,67;81,73;1011
Spain;Meat;29/11/2011;436969029;Critical;Europe;Offline;17/12/2011;2671K;2808477,69;440497,2;3248974,89;364,69;421,89;7701
Moldova;Vegetables;28/03/2016;810752236;Low;Europe;Online;04/05/2016;742K;769085,94;533953,54;1303039,48;90,93;154,06;8458
Italy;Office Supplies;08/07/2011;886620128;Critical;Europe;Offline;25/07/2011;4896K;4962446,88;1193441,25;6155888,13;524,96;651,21;9453
Finland;Cereal;10/04/2010;889093768;Medium;Europe;Offline;20/05/2010;148K;170746,38;129164,22;299910,6;117,11;205,7;1458
Poland;Cereal;06/08/2011;454550588;Critical;Europe;Online;06/09/2011;0K;55627,25;42080,25;97707,5;117,11;205,7;475
Austria;Office Supplies;18/02/2017;926064479;Low;Europe;Online;10/03/2017;890K;1004248,48;241516,25;1245764,73;524,96;651,21;1913
Andorra;Fruits;29/06/2016;413245427;Critical;Europe;Offline;02/07/2016;0K;50931,2;17737,6;68668,8;6,92;9,33;7360
Finland;Beverages;18/09/2011;884147775;High;Europe;Online;19/10/2011;148K;248883,91;122602,14;371486,05;31,79;47,45;7829
Andorra;Cosmetics;30/06/2012;328322827;Critical;Europe;Online;19/07/2012;1780K;1810657,08;1195530,12;3006187,2;263,33;437,2;6876
Germany;Snacks;22/03/2014;158673751;High;Europe;Online;10/05/2014;297K;384303,36;217472,16;601775,52;97,44;152,58;3944
Italy;Snacks;07/01/2014;464911210;Low;Europe;Offline;10/02/2014;593K;624882,72;353612,82;978495,54;97,44;152,58;6413
Serbia;Beverages;12/10/2010;395562589;Critical;Europe;Online;01/12/2010;0K;146710,85;72270,9;218981,75;31,79;47,45;4615
Italy;Baby Food;01/03/2012;459372985;High;Europe;Offline;22/03/2012;1187K;1200273,18;721729,94;1922003,12;159,42;255,28;7529
Armenia;Meat;25/06/2012;693210542;Low;Europe;Online;13/08/2012;1780K;1917904,71;300814,8;2218719,51;364,69;421,89;5259
Sweden;Fruits;22/08/2011;153974950;Low;Europe;Offline;20/09/2011;0K;23970,88;8348,24;32319,12;6,92;9,33;3464
Romania;Snacks;18/08/2014;747327220;High;Europe;Online;15/09/2014;890K;934157,28;528627,18;1462784,46;97,44;152,58;9587
Bosnia and Herzegovina;Clothes;10/10/2011;166810500;Medium;Europe;Online;21/11/2011;0K;64117,76;131384,16;195501,92;35,84;109,28;1789
Lithuania;Personal Care;31/03/2013;386009633;Medium;Europe;Offline;05/04/2013;297K;435395,61;192535,98;627931,59;56,67;81,73;7683
Germany;Personal Care;08/02/2016;993368613;High;Europe;Offline;16/02/2016;445K;493142,34;218072,12;711214,46;56,67;81,73;8702
Germany;Baby Food;09/12/2014;405986297;Low;Europe;Online;02/01/2015;1335K;1470171,24;884020,92;2354192,16;159,42;255,28;9222
Bulgaria;Beverages;04/02/2016;476794040;High;Europe;Online;07/03/2016;0K;89234,53;43957,62;133192,15;31,79;47,45;2807
Serbia;Meat;21/12/2011;380610454;Critical;Europe;Offline;29/12/2011;3561K;3627206,74;568911,2;4196117,94;364,69;421,89;9946
France;Vegetables;01/02/2012;455040681;Low;Europe;Offline;02/02/2012;445K;500478,72;347467,52;847946,24;90,93;154,06;5504
Iceland;Clothes;10/09/2013;917792117;Medium;Europe;Online;07/10/2013;0K;141137,92;289206,72;430344,64;35,84;109,28;3938
Albania;Cosmetics;27/06/2011;728793370;Low;Europe;Offline;12/08/2011;1187K;1319019,97;870914,83;2189934,8;263,33;437,2;5009
Austria;Fruits;20/04/2011;185960614;Medium;Europe;Offline;28/05/2011;0K;60432,36;21046,53;81478,89;6,92;9,33;8733
Finland;Office Supplies;29/11/2011;445273578;High;Europe;Offline;09/01/2012;2671K;2730316,96;656626,25;3386943,21;524,96;651,21;5201
Georgia;Baby Food;26/01/2014;359197413;Low;Europe;Online;08/03/2014;445K;534375,84;321322,72;855698,56;159,42;255,28;3352
Romania;Personal Care;14/05/2013;853036296;Low;Europe;Offline;01/06/2013;0K;70894,17;31350,06;102244,23;56,67;81,73;1251
Switzerland;Fruits;21/03/2012;567412793;Medium;Europe;Offline;27/03/2012;0K;61657,2;21473,1;83130,3;6,92;9,33;8910
Ireland;Cosmetics;27/08/2016;139201343;High;Europe;Offline;06/09/2016;297K;427911,25;282538,75;710450;263,33;437,2;1625
Ukraine;Cosmetics;09/06/2014;183910119;Critical;Europe;Online;11/06/2014;445K;512440,18;338351,02;850791,2;263,33;437,2;1946
Luxembourg;Clothes;07/11/2013;922363460;High;Europe;Online;23/11/2013;148K;240128;492048;732176;35,84;109,28;6700
Austria;Beverages;02/04/2012;192922341;Critical;Europe;Offline;01/05/2012;148K;281754,77;138794,58;420549,35;31,79;47,45;8863
Monaco;Cereal;03/06/2017;792178905;Low;Europe;Online;21/07/2017;148K;257290,67;194632,23;451922,9;117,11;205,7;2197
Serbia;Beverages;20/12/2011;424297845;Medium;Europe;Online;08/01/2012;148K;254828,64;125530,56;380359,2;31,79;47,45;8016
Ireland;Baby Food;23/05/2017;243684327;High;Europe;Online;30/05/2017;0K;73652,04;44287,32;117939,36;159,42;255,28;462
San Marino;Clothes;07/05/2012;152505099;Medium;Europe;Offline;19/05/2012;297K;304747,52;624460,32;929207,84;35,84;109,28;8503
Georgia;Baby Food;24/06/2015;203036630;Low;Europe;Online;28/07/2015;297K;303695,1;182613,3;486308,4;159,42;255,28;1905
Ukraine;Snacks;25/01/2016;611791121;Critical;Europe;Offline;03/03/2016;0K;140605,92;79567,02;220172,94;97,44;152,58;1443
San Marino;Cereal;22/07/2012;554554927;Critical;Europe;Offline;06/08/2012;445K;466214,91;352676,79;818891,7;117,11;205,7;3981
Bosnia and Herzegovina;Office Supplies;11/07/2012;434275662;High;Europe;Offline;13/08/2012;297K;353823,04;85092,5;438915,54;524,96;651,21;674
Germany;Personal Care;27/07/2014;835093390;High;Europe;Offline;29/07/2014;0K;87668,49;38767,82;126436,31;56,67;81,73;1547
Croatia;Beverages;06/02/2017;976323497;Medium;Europe;Online;10/02/2017;148K;148586,46;73194,84;221781,3;31,79;47,45;4674
Lithuania;Beverages;09/01/2014;732703387;High;Europe;Online;28/01/2014;0K;65773,51;32400,54;98174,05;31,79;47,45;2069
Slovenia;Household;10/09/2014;873432672;Critical;Europe;Online;17/09/2014;3412K;3513759,68;1158784,16;4672543,84;502,54;668,27;6992
Serbia;Clothes;25/06/2011;523580348;Critical;Europe;Online;04/08/2011;148K;283673,6;581277,6;864951,2;35,84;109,28;7915
Greece;Personal Care;16/04/2017;800045716;Medium;Europe;Online;14/05/2017;0K;9123,87;4034,66;13158,53;56,67;81,73;161
Malta;Vegetables;10/05/2016;743769109;Medium;Europe;Online;11/05/2016;593K;605775,66;420572,06;1026347,72;90,93;154,06;6662
San Marino;Snacks;09/01/2013;201294267;Low;Europe;Offline;09/02/2013;593K;614066,88;347492,28;961559,16;97,44;152,58;6302
Portugal;Meat;11/02/2013;668280589;Low;Europe;Online;28/03/2013;2819K;2892721,08;453710,4;3346431,48;364,69;421,89;7932
Albania;Household;14/07/2017;380379998;Critical;Europe;Online;16/07/2017;742K;878942,46;289861,77;1168804,23;502,54;668,27;1749
Netherlands;Clothes;16/01/2016;767490565;High;Europe;Online;23/02/2016;148K;228229,12;467665,92;695895,04;35,84;109,28;6368
Iceland;Snacks;30/10/2012;720931279;Low;Europe;Offline;18/11/2012;742K;822491,04;465436,74;1287927,78;97,44;152,58;8441
United Kingdom;Snacks;13/07/2013;138025033;Low;Europe;Online;03/08/2013;297K;343865,76;194589,06;538454,82;97,44;152,58;3529
Andorra;Meat;16/08/2016;552931869;High;Europe;Offline;09/09/2016;1335K;1342788,58;210610,4;1553398,98;364,69;421,89;3682
Liechtenstein;Fruits;08/02/2014;142375361;Low;Europe;Online;19/02/2014;0K;6144,96;2140,08;8285,04;6,92;9,33;888
Belgium;Cosmetics;27/06/2014;916089236;Critical;Europe;Offline;28/07/2014;0K;4476,61;2955,79;7432,4;263,33;437,2;17
Luxembourg;Fruits;06/12/2011;242265546;Low;Europe;Offline;07/01/2012;0K;4248,88;1479,74;5728,62;6,92;9,33;614
Malta;Cosmetics;12/01/2015;265914475;Medium;Europe;Online;21/02/2015;2226K;2332313,81;1539966,59;3872280,4;263,33;437,2;8857
Slovakia;Snacks;26/07/2015;637040793;Low;Europe;Online;04/08/2015;297K;329542,08;186483,48;516025,56;97,44;152,58;3382
Andorra;Personal Care;12/12/2014;754541289;Low;Europe;Offline;19/12/2014;148K;248781,3;110013,4;358794,7;56,67;81,73;4390
Serbia;Vegetables;16/03/2015;697638976;Low;Europe;Offline;26/03/2015;445K;521119,83;361798,03;882917,86;90,93;154,06;5731
Czech Republic;Baby Food;10/03/2016;467312324;Critical;Europe;Online;08/04/2016;1039K;1108925,52;666802,16;1775727,68;159,42;255,28;6956
Slovenia;Clothes;26/05/2012;622441852;Low;Europe;Online;28/05/2012;0K;115799,04;237284,64;353083,68;35,84;109,28;3231
Bulgaria;Meat;27/07/2016;349212729;Critical;Europe;Online;11/09/2016;3116K;3158944,78;495466,4;3654411,18;364,69;421,89;8662
Hungary;Cosmetics;06/10/2010;332353007;High;Europe;Online;22/11/2010;2374K;2500318,35;1650895,65;4151214;263,33;437,2;9495
Slovakia;Meat;08/08/2013;876856458;High;Europe;Offline;29/08/2013;0K;60538,54;9495,2;70033,74;364,69;421,89;166
Bulgaria;Beverages;19/10/2013;313178002;Critical;Europe;Offline;06/12/2013;148K;164831,15;81197,1;246028,25;31,79;47,45;5185
Kosovo;Personal Care;17/02/2016;461445796;Low;Europe;Online;22/03/2016;0K;52136,4;23055,2;75191,6;56,67;81,73;920
Spain;Cosmetics;03/01/2017;391026866;Critical;Europe;Offline;08/01/2017;593K;630412,02;416244,78;1046656,8;263,33;437,2;2394
Germany;Vegetables;07/08/2015;204418504;Critical;Europe;Offline;03/09/2015;0K;75744,69;52587,29;128331,98;90,93;154,06;833
Romania;Meat;22/12/2012;524972951;Low;Europe;Offline;17/01/2013;0K;6199,73;972,4;7172,13;364,69;421,89;17
Latvia;Beverages;27/11/2013;469197165;Critical;Europe;Online;11/12/2013;148K;150144,17;73962,18;224106,35;31,79;47,45;4723
